,ligand,receptor,pathway,ligand_annotation,TF
Htr1d|Htr1a,Htr1d,Htr1a,5-HT1,unSecreted,"Stat3, Trp53, Pparg, Smad3, Rxra, Ar, Stat1, Stat5b, Gtf2i, Jun, Esr1, Fos, Stat5a, Myc"
Htr1b|Htr1a,Htr1b,Htr1a,5-HT1,unSecreted,"Stat3, Trp53, Pparg, Smad3, Rxra, Ar, Stat1, Stat5b, Gtf2i, Jun, Esr1, Fos, Stat5a, Myc"
Ace|Bdkrb2,Ace,Bdkrb2,ACE,Secreted,"Tcf7l2, Creb5, Tcf7l1, Creb3l1, Atf6b, Creb3l4, Foxo1, Jun, Rela, Fos, Traf6, Gtf2ird1, Creb3l3, Ets1, Trp53, Nfkb1, Atf4, Ctnnb1, Nfkb2, Creb3l2, Tcf7, Myc, Nfkbia, Atf2, Creb3, Ikbkb, Lef1, Gtf2i, Creb1, Mdm2"
Ace|Agtr2,Ace,Agtr2,ACE,Secreted,Jun
Inhba|COMPLEX:Acvr1b_Acvr2a,Inhba,COMPLEX:Acvr1b_Acvr2a,ACTIVIN,Secreted,"Tcf7l2, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, E2f4, Esr1, Rela, Nanog, Smad5, Mef2c, Junb, Nfkb1, Smad3, Tfdp1, Smad1, Smad4, Lef1, Max, Gata3, Creb1"
Inhba|COMPLEX:Acvr1b_Acvr2b,Inhba,COMPLEX:Acvr1b_Acvr2b,ACTIVIN,Secreted,"Tcf7l2, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, E2f4, Esr1, Rela, Nanog, Smad5, Mef2c, Junb, Nfkb1, Smad9, Smad3, Tfdp1, Smad1, Smad4, Lef1, Max, Gata3, Creb1"
Inhba|Eng,Inhba,Eng,ACTIVIN,Secreted,
Inhba|Tgfbr3,Inhba,Tgfbr3,ACTIVIN,Secreted,
Inhba|Acvr1,Inhba,Acvr1,ACTIVIN,Secreted,"Smad3, Junb, Nfkb1, E2f4, Tfdp1, Rela, Smad1, Smad9, Smad4, Nanog, E2f5, Smad5"
Inhba|Bambi,Inhba,Bambi,ACTIVIN,Secreted,"Smad1, Smad9, Smad5"
Inhbb|Acvr1,Inhbb,Acvr1,ACTIVIN,Secreted,"Smad3, Junb, Nfkb1, E2f4, Tfdp1, Rela, Smad1, Smad9, Smad4, Nanog, E2f5, Smad5"
Inhbc|COMPLEX:Acvr1b_Acvr2a,Inhbc,COMPLEX:Acvr1b_Acvr2a,ACTIVIN,Secreted,"Tcf7l2, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, E2f4, Esr1, Rela, Nanog, Smad5, Mef2c, Junb, Nfkb1, Smad3, Tfdp1, Smad1, Smad4, Lef1, Max, Gata3, Creb1"
Inhbc|COMPLEX:Acvr1b_Acvr2b,Inhbc,COMPLEX:Acvr1b_Acvr2b,ACTIVIN,Secreted,"Tcf7l2, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, E2f4, Esr1, Rela, Nanog, Smad5, Mef2c, Junb, Nfkb1, Smad9, Smad3, Tfdp1, Smad1, Smad4, Lef1, Max, Gata3, Creb1"
Inhbc|COMPLEX:Acvr1c_Acvr2a,Inhbc,COMPLEX:Acvr1c_Acvr2a,ACTIVIN,Secreted,"Tcf7l2, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, E2f4, Esr1, Rela, Nanog, Smad5, Mef2c, Junb, Nfkb1, Smad3, Tfdp1, Smad1, Smad4, Lef1, Max, Gata3, Creb1"
Inhbc|COMPLEX:Acvr1c_Acvr2b,Inhbc,COMPLEX:Acvr1c_Acvr2b,ACTIVIN,Secreted,"Tcf7l2, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, E2f4, Esr1, Rela, Nanog, Smad5, Mef2c, Junb, Nfkb1, Smad9, Smad3, Tfdp1, Smad1, Smad4, Lef1, Max, Gata3, Creb1"
Inhbe|COMPLEX:Acvr1b_Acvr2a,Inhbe,COMPLEX:Acvr1b_Acvr2a,ACTIVIN,Secreted,"Tcf7l2, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, E2f4, Esr1, Rela, Nanog, Smad5, Mef2c, Junb, Nfkb1, Smad3, Tfdp1, Smad1, Smad4, Lef1, Max, Gata3, Creb1"
Inhbe|COMPLEX:Acvr1b_Acvr2b,Inhbe,COMPLEX:Acvr1b_Acvr2b,ACTIVIN,Secreted,"Tcf7l2, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, E2f4, Esr1, Rela, Nanog, Smad5, Mef2c, Junb, Nfkb1, Smad9, Smad3, Tfdp1, Smad1, Smad4, Lef1, Max, Gata3, Creb1"
Inhbe|COMPLEX:Acvr1c_Acvr2a,Inhbe,COMPLEX:Acvr1c_Acvr2a,ACTIVIN,Secreted,"Tcf7l2, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, E2f4, Esr1, Rela, Nanog, Smad5, Mef2c, Junb, Nfkb1, Smad3, Tfdp1, Smad1, Smad4, Lef1, Max, Gata3, Creb1"
Inhbe|COMPLEX:Acvr1c_Acvr2b,Inhbe,COMPLEX:Acvr1c_Acvr2b,ACTIVIN,Secreted,"Tcf7l2, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, E2f4, Esr1, Rela, Nanog, Smad5, Mef2c, Junb, Nfkb1, Smad9, Smad3, Tfdp1, Smad1, Smad4, Lef1, Max, Gata3, Creb1"
COMPLEX:Inhba_Inhbb|COMPLEX:Acvr1b_Acvr2a,COMPLEX:Inhba_Inhbb,COMPLEX:Acvr1b_Acvr2a,ACTIVIN,Secreted,"Tcf7l2, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, E2f4, Esr1, Rela, Nanog, Smad5, Mef2c, Junb, Nfkb1, Smad3, Tfdp1, Smad1, Smad4, Lef1, Max, Gata3, Creb1"
COMPLEX:Inhba_Inhbb|COMPLEX:Acvr1b_Acvr2b,COMPLEX:Inhba_Inhbb,COMPLEX:Acvr1b_Acvr2b,ACTIVIN,Secreted,"Tcf7l2, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, E2f4, Esr1, Rela, Nanog, Smad5, Mef2c, Junb, Nfkb1, Smad9, Smad3, Tfdp1, Smad1, Smad4, Lef1, Max, Gata3, Creb1"
COMPLEX:Inhba_Inhbb|COMPLEX:Acvr1c_Acvr2a,COMPLEX:Inhba_Inhbb,COMPLEX:Acvr1c_Acvr2a,ACTIVIN,Secreted,"Tcf7l2, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, E2f4, Esr1, Rela, Nanog, Smad5, Mef2c, Junb, Nfkb1, Smad3, Tfdp1, Smad1, Smad4, Lef1, Max, Gata3, Creb1"
COMPLEX:Inhba_Inhbb|COMPLEX:Acvr1c_Acvr2b,COMPLEX:Inhba_Inhbb,COMPLEX:Acvr1c_Acvr2b,ACTIVIN,Secreted,"Tcf7l2, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, E2f4, Esr1, Rela, Nanog, Smad5, Mef2c, Junb, Nfkb1, Smad9, Smad3, Tfdp1, Smad1, Smad4, Lef1, Max, Gata3, Creb1"
COMPLEX:Inha_Inhba|Acvr2a,COMPLEX:Inha_Inhba,Acvr2a,ACTIVIN,Secreted,"Smad3, Junb, Nfkb1, E2f4, Tfdp1, Rela, Smad1, Smad4, Nanog, E2f5, Smad5, Smad2"
COMPLEX:Inha_Inhba|Acvr2b,COMPLEX:Inha_Inhba,Acvr2b,ACTIVIN,Secreted,"Tcf7l2, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, E2f4, Esr1, Rela, Nanog, Smad5, Mef2c, Junb, Nfkb1, Smad9, Smad3, Tfdp1, Smad1, Smad4, Lef1, Max, Gata3, Creb1"
Acvrl1|Eng,Acvrl1,Eng,ACVRL1,unSecreted,
Acvrl1|Tgfbr1,Acvrl1,Tgfbr1,ACVRL1,unSecreted,"Rorc, Tcf7l2, Tcf7l1, Ddit3, Stat3, Elk1, E2f5, Smad2, E2f2, Daxx, Elk4, Mybl2, E2f4, Terf1, Foxm1, Nanog, Mef2c, Junb, Trp53, Rbl1, Atf4, E2f3, Tcf7, Irf5, Smad3, Rb1, Rbl2, Rora, Terf2, E2f1, Atf2, Tfdp1, Smad1, Foxp3, Smad4, Runx2, Max, Lef1"
Adam10|Tspan15,Adam10,Tspan15,ADAM10,unSecreted,
Adam10|Cd44,Adam10,Cd44,ADAM10,unSecreted,"Nfatc1, Nfkb1, Rela, Fos, Nfatc3, Nfatc2, Jun"
Adam10|Epha3,Adam10,Epha3,ADAM10,unSecreted,"Rxra, Ar, Esr1, Stat1, Fos, Stat3, Abl1, Runx2, Gtf2i, Stat5a, Stat5b, Pparg"
Adam10|Axl,Adam10,Axl,ADAM10,unSecreted,"Stat6, Sp1, Foxo3, Stat2, Stat1, Stat4, Stat3, Fos, Irf9, Stat5a, Stat5b, Jun"
Adam10|Notch1,Adam10,Notch1,ADAM10,unSecreted,"Pax8, Sox2, Jun, Ar, Rela, Rbpjl, Nanog, Hif1a, Atoh1, Mef2c, Hey2, Trp53, Gbx2, Hey1, Snw1, Mitf, Rbpj, Hes1, Nfkb2, Dlx5, Irf7, Myc, Pax2, Myod1, Hes5, Smad1, Sox9, Lef1, Heyl, Runx2, Gata3, Smad4, Wt1, Pax7, Pbx1"
Adam10|Tspan5,Adam10,Tspan5,ADAM10,unSecreted,
Adam10|Notch2,Adam10,Notch2,ADAM10,unSecreted,"Myc, Hey2, Hey1, Snw1, Hes5, Rbpj, Hes1, Heyl, Rbpjl, Gata3, Pax7, Pbx1, Nfkb2"
Adam10|Tspan14,Adam10,Tspan14,ADAM10,unSecreted,
Adam10|Tspan17,Adam10,Tspan17,ADAM10,unSecreted,
Adam10|Tspan10,Adam10,Tspan10,ADAM10,unSecreted,
Adam10|Notch3,Adam10,Notch3,ADAM10,unSecreted,"Rela, Fos, Rbpjl, Nanog, Stat5a, Hif1a, Hey2, Nfkb1, Hey1, Snw1, Rbpj, Hes1, Nfkb2, Stat5b, Myc, Hes5, Tbx21, Pbx1, Heyl"
Adam12|Itgb1,Adam12,Itgb1,ADAM12,unSecreted,"Nr4a1, Pax8, Nrf1, Thra, Nfatc4, Sp7, Creb5, Esr2, Creb3l1, Atf6b, Stat3, Etv1, Pou5f1, Srf, Gli3, Dnmt1, Tfap2a, Nr5a1, Creb3l4, Jun, Hsf1, Gata1, Sp1, Mlxipl, Rxra, Stat2, Ar, Esr1, Stat1, Rela, Fos, Stat5a, Etv5, Atf1, Ybx1, Trp53, Nfkb1, Nkx3-1, Atf4, Nr1h4, Twist1, Gli2, Nfe2l2, Pdx1, Rara, Stat5b, Dlx5, Creb3l2, Pparg, Gli1, Atf2, Creb3, Foxa2, Sox9, Runx2, Ppara, Gtf2i, Pbx1, Creb1"
Adam12|Sdc4,Adam12,Sdc4,ADAM12,unSecreted,"Pax8, Creb5, Creb3l1, Atf6b, Stat3, Creb3l4, Elk1, Jun, Ar, Esr1, Fos, Nfatc3, Atf4, Creb3l2, Smad3, Nfatc1, Atf2, Creb3, Nfatc2, Creb1"
Adam12|Itga9,Adam12,Itga9,ADAM12,unSecreted,"Stat3, Fos, Sp1, Jun"
Adam23|Itgb3,Adam23,Itgb3,ADAM12,unSecreted,"Nfkb1, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Stat5b, Pparg"
Adam23|Itga5,Adam23,Itga5,ADAM12,unSecreted,"Stat3, Fos, Sp1, Jun"
Adam15|Itgb3,Adam15,Itgb3,ADAM15,unSecreted,"Nfkb1, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Stat5b, Pparg"
Adam15|Itgb1,Adam15,Itgb1,ADAM15,unSecreted,"Nr4a1, Pax8, Nrf1, Thra, Nfatc4, Sp7, Creb5, Esr2, Creb3l1, Atf6b, Stat3, Etv1, Pou5f1, Srf, Gli3, Dnmt1, Tfap2a, Nr5a1, Creb3l4, Jun, Hsf1, Gata1, Sp1, Mlxipl, Rxra, Stat2, Ar, Esr1, Stat1, Rela, Fos, Stat5a, Etv5, Atf1, Ybx1, Trp53, Nfkb1, Nkx3-1, Atf4, Nr1h4, Twist1, Gli2, Nfe2l2, Pdx1, Rara, Stat5b, Dlx5, Creb3l2, Pparg, Gli1, Atf2, Creb3, Foxa2, Sox9, Runx2, Ppara, Gtf2i, Pbx1, Creb1"
Adam15|Itgav,Adam15,Itgav,ADAM15,unSecreted,"Nfkb1, Runx3, Ar, Esr1, Rela, Fos, Hif1a"
Adam15|Itga5,Adam15,Itga5,ADAM15,unSecreted,"Stat3, Fos, Sp1, Jun"
Adam15|Itga9,Adam15,Itga9,ADAM15,unSecreted,"Stat3, Fos, Sp1, Jun"
Adam17|Tgfa,Adam17,Tgfa,ADAM17,unSecreted,"Nfkb1, Pgr, Runx3, E2f1, Esr1, Stat1, Rela, Stat3, Fos, Stat5a, Mxd4, Hif1a, Stat5b"
Adam17|Itgb1,Adam17,Itgb1,ADAM17,unSecreted,"Nr4a1, Pax8, Nrf1, Thra, Nfatc4, Sp7, Creb5, Esr2, Creb3l1, Atf6b, Stat3, Etv1, Pou5f1, Srf, Gli3, Dnmt1, Tfap2a, Nr5a1, Creb3l4, Jun, Hsf1, Gata1, Sp1, Mlxipl, Rxra, Stat2, Ar, Esr1, Stat1, Rela, Fos, Stat5a, Etv5, Atf1, Ybx1, Trp53, Nfkb1, Nkx3-1, Atf4, Nr1h4, Twist1, Gli2, Nfe2l2, Pdx1, Rara, Stat5b, Dlx5, Creb3l2, Pparg, Gli1, Atf2, Creb3, Foxa2, Sox9, Runx2, Ppara, Gtf2i, Pbx1, Creb1"
Adam17|Itga5,Adam17,Itga5,ADAM17,unSecreted,"Stat3, Fos, Sp1, Jun"
Adam17|Il6ra,Adam17,Il6ra,ADAM17,unSecreted,"Nr4a1, Foxo3, Creb5, Esr2, Cebpb, Creb3l1, Atf6b, Stat3, Erf, Ets2, Creb3l4, Elk1, Jun, Hsf1, Sp1, Stat2, Esr1, Stat1, Rela, Fos, Dbp, Stat5a, Hif1a, Atoh1, Ets1, Trp53, Nfkb1, Mitf, Nfatc3, Atf4, Irf9, Stat5b, Creb3l2, Egr1, Myc, Smad3, Stat6, Nfatc1, Atf2, Creb3, Stat4, Runx2, Gtf2i, Nfatc2, Creb1, Thrb"
Adam17|Notch1,Adam17,Notch1,ADAM17,unSecreted,"Pax8, Sox2, Jun, Ar, Rela, Rbpjl, Nanog, Hif1a, Atoh1, Mef2c, Hey2, Trp53, Gbx2, Hey1, Snw1, Mitf, Rbpj, Hes1, Nfkb2, Dlx5, Irf7, Myc, Pax2, Myod1, Hes5, Smad1, Sox9, Lef1, Heyl, Runx2, Gata3, Smad4, Wt1, Pax7, Pbx1"
