,ligand,receptor,pathway,ligand_annotation,TF
HTR1D|HTR1A,HTR1D,HTR1A,5-HT1,unSecreted,"STAT3, TP53, PPARG, SMAD3, RXRA, AR, STAT1, STAT5B, GTF2I, JUN, ESR1, FOS, STAT5A, MYC"
HTR1B|HTR1A,HTR1B,HTR1A,5-HT1,unSecreted,"STAT3, TP53, PPARG, SMAD3, RXRA, AR, STAT1, STAT5B, GTF2I, JUN, ESR1, FOS, STAT5A, MYC"
ACE|BDKRB2,ACE,BDKRB2,ACE,Secreted,"TCF7L2, CREB5, TCF7L1, CREB3L1, ATF6B, CREB3L4, FOXO1, JUN, RELA, FOS, TRAF6, GTF2IRD1, CREB3L3, ETS1, TP53, NFKB1, ATF4, CTNNB1, NFKB2, CREB3L2, TCF7, MYC, NFKBIA, ATF2, CREB3, IKBKB, LEF1, GTF2I, CREB1, MDM2"
ACE|AGTR2,ACE,AGTR2,ACE,Secreted,JUN
INHBA|COMPLEX:ACVR1B_ACVR2A,INHBA,COMPLEX:ACVR1B_ACVR2A,ACTIVIN,Secreted,"TCF7L2, E2F5, FOXO1, SMAD2, JUN, MEF2A, SP1, E2F4, ESR1, RELA, NANOG, SMAD5, MEF2C, JUNB, NFKB1, SMAD3, TFDP1, SMAD1, SMAD4, LEF1, MAX, GATA3, CREB1"
INHBA|COMPLEX:ACVR1B_ACVR2B,INHBA,COMPLEX:ACVR1B_ACVR2B,ACTIVIN,Secreted,"TCF7L2, E2F5, FOXO1, SMAD2, JUN, MEF2A, SP1, E2F4, ESR1, RELA, NANOG, SMAD5, MEF2C, JUNB, NFKB1, SMAD9, SMAD3, TFDP1, SMAD1, SMAD4, LEF1, MAX, GATA3, CREB1"
INHBA|ENG,INHBA,ENG,ACTIVIN,Secreted,
INHBA|TGFBR3,INHBA,TGFBR3,ACTIVIN,Secreted,
INHBA|ACVR1,INHBA,ACVR1,ACTIVIN,Secreted,"SMAD3, JUNB, NFKB1, E2F4, TFDP1, RELA, SMAD1, SMAD9, SMAD4, NANOG, E2F5, SMAD5"
INHBA|BAMBI,INHBA,BAMBI,ACTIVIN,Secreted,"SMAD1, SMAD9, SMAD5"
INHBB|ACVR1,INHBB,ACVR1,ACTIVIN,Secreted,"SMAD3, JUNB, NFKB1, E2F4, TFDP1, RELA, SMAD1, SMAD9, SMAD4, NANOG, E2F5, SMAD5"
